title,description,event_format,language,url,date_start,date_finish,cme,status
International Conference on Advanced Technologies in Ophthalmology in March 2021 in Paris,in March 2021 in Paris,online,English,https://waset.org/advanced-technologies-in-ophthalmology-conference-in-march-2021-in-paris,2021-03-29,2021-03-30,0,confirmed
International Conference on Corneal Disease and Treatments in March 2021 in Singapore,March 2021 in Singapore,online,English,https://waset.org/corneal-disease-and-treatments-conference-in-march-2021-in-singapore,2021-03-29,2021-03-30,0,confirmed
International Conference on Investigation of Corneal Diseases in March 2021 in Paris,March 2021 in Paris,online,English,https://waset.org/investigation-of-corneal-diseases-conference-in-march-2021-in-paris,2021-03-29,2021-03-30,0,confirmed
International Conference on Ocular Diseases Drug Discovery in March 2021 in Singapore,March 2021 in Singapore,online,English,https://waset.org/ocular-diseases-drug-discovery-conference-in-march-2021-in-singapore,2021-03-29,2021-03-30,0,confirmed
International Conference on Optics Research in Ophthalmology in March 2021 in Singapore,in March 2021 in Singapore,online,English,https://waset.org/optics-research-in-ophthalmology-conference-in-march-2021-in-singapore,2021-03-29,2021-03-30,0,confirmed
International Conference on Pediatrics and Child Health in March 2021 in Singapore,March 2021 in Singapore,online,English,https://waset.org/pediatrics-and-child-health-conference-in-march-2021-in-singapore,2021-03-29,2021-03-30,0,confirmed
International Conference on Corneal Neovascularization in April 2021 in Dubai,April 2021 in Dubai,online,English,https://waset.org/corneal-neovascularization-conference-in-april-2021-in-dubai,2021-04-05,2021-04-06,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision in April 2021 in Dubai,April 2021 in Dubai,online,English,https://waset.org/ophthalmology-optometry-and-vision-conference-in-april-2021-in-dubai,2021-04-05,2021-04-06,0,confirmed
International Conference on Optometry and Vision Therapy in April 2021 in Dubai,April 2021 in Dubai,online,English,https://waset.org/optometry-and-vision-therapy-conference-in-april-2021-in-dubai,2021-04-05,2021-04-06,0,confirmed
International Conference on Pediatric Ophthalmology in April 2021 in Dubai,April 2021 in Dubai,online,English,https://waset.org/pediatric-ophthalmology-conference-in-april-2021-in-dubai,2021-04-05,2021-04-06,0,confirmed
International Conference on Allergic Conjunctivitis in April 2021 in Athens,April 2021 in Athens,online,English,https://waset.org/allergic-conjunctivitis-conference-in-april-2021-in-athens,2021-04-08,2021-04-09,0,confirmed
International Conference on Complications and Management of Corneal Transplantation in April 2021 in Rome,April 2021 in Rome,online,English,https://waset.org/complications-and-management-of-corneal-transplantation-conference-in-april-2021-in-rome,2021-04-08,2021-04-09,0,confirmed
International Conference on Ophthalmology: Eye and Surroundings Disorders in April 2021 in Rome,April 2021 in Rome,online,English,https://waset.org/ophthalmology-eye-and-surroundings-disorders-conference-in-april-2021-in-rome,2021-04-08,2021-04-09,0,confirmed
International Conference on Ophthalmology and  Optometry and Optics in April 2021 in Rome,April 2021 in Rome,online,English,https://waset.org/ophthalmology-optometry-and-optics-conference-in-april-2021-in-rome,2021-04-08,2021-04-09,0,confirmed
International Conference on Ophthalmology Surgery in April 2021 in Rome,April 2021 in Rome,online,English,https://waset.org/ophthalmology-surgery-conference-in-april-2021-in-rome,2021-04-08,2021-04-09,0,confirmed
International Conference on Pathophysiology of Glaucoma in April 2021 in Athens,April 2021 in Athens,online,English,https://waset.org/pathophysiology-of-glaucoma-conference-in-april-2021-in-athens,2021-04-08,2021-04-09,0,confirmed
International Conference on Corneal Degeneration and Treatment in April 2021 in Cape Town,April 2021 in Cape Town,online,English,https://waset.org/corneal-degeneration-and-treatment-conference-in-april-2021-in-cape-town,2021-04-15,2021-04-16,0,confirmed
International Conference on Corneal Transplantation and Reshaping in April 2021 in Lisbon,April 2021 in Lisbon,online,English,https://waset.org/corneal-transplantation-and-reshaping-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Corneal Ulceration and Genetic Eye Diseases in April 2021 in Lisbon,April 2021 in Lisbon,online,English,https://waset.org/corneal-ulceration-and-genetic-eye-diseases-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Corneal Ulceration and Ocular Refraction in April 2021 in Lisbon,April 2021 in Lisbon,online,English,https://waset.org/corneal-ulceration-and-ocular-refraction-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Corneal Ulceration and Transplantation in April 2021 in Lisbon,April 2021 in Lisbon,online,English,https://waset.org/corneal-ulceration-and-transplantation-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Choroidal Imaging and Corneal Disorders in April 2021 in Cape Town,April 2021 in Cape Town,online,English,https://waset.org/choroidal-imaging-and-corneal-disorders-conference-in-april-2021-in-cape-town,2021-04-15,2021-04-16,0,confirmed
International Conference on Developments in Immunotherapy and Ophthalmology in April 2021 in Lisbon,in April 2021 in Lisbon,online,English,https://waset.org/developments-in-immunotherapy-and-ophthalmology-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Management of Corneal Diseases in April 2021 in Cape Town,April 2021 in Cape Town,online,English,https://waset.org/management-of-corneal-diseases-conference-in-april-2021-in-cape-town,2021-04-15,2021-04-16,0,confirmed
International Conference on Applied Vision Research in Ophthalmology in April 2021 in Lisbon,in April 2021 in Lisbon,online,English,https://waset.org/applied-vision-research-in-ophthalmology-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Ophthalmology and  Optometry  Vision Therapy and Care ,in April 2021 in Lisbon,online,English,https://waset.org/ophthalmology-optometry-vision-therapy-and-care-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Retinal Detachment Surgery in April 2021 in Lisbon,April 2021 in Lisbon,online,English,https://waset.org/retinal-detachment-surgery-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Thyroid Eye Diseases in April 2021 in Lisbon,April 2021 in Lisbon,online,English,https://waset.org/thyroid-eye-diseases-conference-in-april-2021-in-lisbon,2021-04-15,2021-04-16,0,confirmed
International Conference on Ophthalmology Surgical Instruments in April 2021 in Paris,April 2021 in Paris,online,English,https://waset.org/ophthalmology-surgical-instruments-conference-in-april-2021-in-paris,2021-04-19,2021-04-20,0,confirmed
International Conference on Strabismus and Ophthalmology in April 2021 in Paris,April 2021 in Paris,online,English,https://waset.org/strabismus-and-ophthalmology-conference-in-april-2021-in-paris,2021-04-19,2021-04-20,0,confirmed
International Conference on Antibiotics in Ocular Infections in April 2021 in Boston,in April 2021 in Boston,online,English,https://waset.org/antibiotics-in-ocular-infections-conference-in-april-2021-in-boston,2021-04-22,2021-04-23,0,confirmed
International Conference on Biomarkers for Glaucoma in April 2021 in Tokyo,April 2021 in Tokyo,online,English,https://waset.org/biomarkers-for-glaucoma-conference-in-april-2021-in-tokyo,2021-04-22,2021-04-23,0,confirmed
International Conference on Cell Mediated Diseases in April 2021 in London,April 2021 in London,online,English,https://waset.org/cell-mediated-diseases-conference-in-april-2021-in-london,2021-04-22,2021-04-23,0,confirmed
International Conference on Dye Solutions and Ophthalmology in April 2021 in New York,April 2021 in New York,online,English,https://waset.org/dye-solutions-and-ophthalmology-conference-in-april-2021-in-new-york,2021-04-22,2021-04-23,0,confirmed
International Conference on Eye Surgery Updates in April 2021 in New York,April 2021 in New York,online,English,https://waset.org/eye-surgery-updates-conference-in-april-2021-in-new-york,2021-04-22,2021-04-23,0,confirmed
International Conference on Ophthalmology and Glaucoma Treatments in April 2021 in New York,April 2021 in New York,online,English,https://waset.org/ophthalmology-and-glaucoma-treatments-conference-in-april-2021-in-new-york,2021-04-22,2021-04-23,0,confirmed
International Conference on Ocular Microbiology in April 2021 in Tokyo,April 2021 in Tokyo,online,English,https://waset.org/ocular-microbiology-conference-in-april-2021-in-tokyo,2021-04-22,2021-04-23,0,confirmed
International Conference on Ophthalmology and Optometry Therapeutics in April 2021 in New York,April 2021 in New York,online,English,https://waset.org/ophthalmology-and-optometry-therapeutics-conference-in-april-2021-in-new-york,2021-04-22,2021-04-23,0,confirmed
International Conference on Optometry and Vision Anomalies in April 2021 in New York,April 2021 in New York,online,English,https://waset.org/optometry-and-vision-anomalies-conference-in-april-2021-in-new-york,2021-04-22,2021-04-23,0,confirmed
International Conference on Optometry and Vision Science in April 2021 in New York,April 2021 in New York,online,English,https://waset.org/optometry-and-vision-science-conference-in-april-2021-in-new-york,2021-04-22,2021-04-23,0,confirmed
International Conference on Vision Correction Surgery in April 2021 in New York,April 2021 in New York,online,English,https://waset.org/vision-correction-surgery-conference-in-april-2021-in-new-york,2021-04-22,2021-04-23,0,confirmed
International Conference on Vision Therapies and Ophthalmology in April 2021 in London,April 2021 in London,online,English,https://waset.org/vision-therapies-and-ophthalmology-conference-in-april-2021-in-london,2021-04-22,2021-04-23,0,confirmed
International Conference on Advances in Ophthalmic Research in April 2021 in Jerusalem,in April 2021 in Jerusalem,online,English,https://waset.org/advances-in-ophthalmic-research-conference-in-april-2021-in-jerusalem,2021-04-29,2021-04-30,0,confirmed
International Conference on Corneal Neovascularization and Eye Surgery Updates in April 2021 in Jerusalem,April 2021 in Jerusalem,online,English,https://waset.org/corneal-neovascularization-and-eye-surgery-updates-conference-in-april-2021-in-jerusalem,2021-04-29,2021-04-30,0,confirmed
International Conference on Genetic Eye Diseases in April 2021 in Jerusalem,April 2021 in Jerusalem,online,English,https://waset.org/genetic-eye-diseases-conference-in-april-2021-in-jerusalem,2021-04-29,2021-04-30,0,confirmed
International Conference on Medical and Health Sciences in May 2021 in Rome,May 2021 in Rome,online,English,https://waset.org/medical-and-health-sciences-conference-in-may-2021-in-rome,2021-05-03,2021-05-04,0,confirmed
International Conference on Management of Thyroid Eye Diseases in May 2021 in Rome,May 2021 in Rome,online,English,https://waset.org/management-of-thyroid-eye-diseases-conference-in-may-2021-in-rome,2021-05-03,2021-05-04,0,confirmed
International Conference on Ophthalmology in May 2021 in Singapore,May 2021 in Singapore,online,English,https://waset.org/ophthalmology-conference-in-may-2021-in-singapore,2021-05-03,2021-05-04,0,confirmed
International Conference on Ophthalmology and Blindness in May 2021 in Singapore,May 2021 in Singapore,online,English,https://waset.org/ophthalmology-and-blindness-conference-in-may-2021-in-singapore,2021-05-03,2021-05-04,0,confirmed
International Conference on Therapies in Fighting Blindness in May 2021 in Rome,in May 2021 in Rome,online,English,https://waset.org/therapies-in-fighting-blindness-conference-in-may-2021-in-rome,2021-05-03,2021-05-04,0,confirmed
International Conference on Transplantation Technologies for Retina in May 2021 in Singapore,May 2021 in Singapore,online,English,https://waset.org/transplantation-technologies-for-retina-conference-in-may-2021-in-singapore,2021-05-03,2021-05-04,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Anomalies in May 2021 in Istanbul,May 2021 in Istanbul,online,English,https://waset.org/ophthalmology-optometry-and-vision-anomalies-conference-in-may-2021-in-istanbul,2021-05-06,2021-05-07,0,confirmed
International Conference on Pathophysiology of Glaucoma and Diagnostic Dye Solutions in May 2021 in Istanbul,May 2021 in Istanbul,online,English,https://waset.org/pathophysiology-of-glaucoma-and-diagnostic-dye-solutions-conference-in-may-2021-in-istanbul,2021-05-06,2021-05-07,0,confirmed
International Conference on Choroidal Imaging in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/choroidal-imaging-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Complications and Management of Glaucoma Filtering in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/complications-and-management-of-glaucoma-filtering-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Healthcare and Medical Research in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/healthcare-and-medical-research-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Medicine and Biomedical Sciences in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/medicine-and-biomedical-sciences-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Medicine and Healthcare in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/medicine-and-healthcare-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Medical Research and Health Sciences in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/medical-research-and-health-sciences-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Medical Research and Innovation in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/medical-research-and-innovation-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Ophthalmology and Glaucoma in May 2021 in Amsterdam,May 2021 in Amsterdam,online,English,https://waset.org/ophthalmology-and-glaucoma-conference-in-may-2021-in-amsterdam,2021-05-13,2021-05-14,0,confirmed
International Conference on Medical  Biomedicine and Health Sciences in May 2021 in Sydney,May 2021 in Sydney,online,English,https://waset.org/medical-biomedicine-and-health-sciences-conference-in-may-2021-in-sydney,2021-05-17,2021-05-18,0,confirmed
International Conference on Ophthalmology and Vision Development in May 2021 in Paris,May 2021 in Paris,online,English,https://waset.org/ophthalmology-and-vision-development-conference-in-may-2021-in-paris,2021-05-17,2021-05-18,0,confirmed
International Conference on Technologies in Ophthalmology in May 2021 in Sydney,in May 2021 in Sydney,online,English,https://waset.org/technologies-in-ophthalmology-conference-in-may-2021-in-sydney,2021-05-17,2021-05-18,0,confirmed
International Conference on Updates in Management of Thyroid Eye Disease in May 2021 in Sydney,in May 2021 in Sydney,online,English,https://waset.org/updates-in-management-of-thyroid-eye-disease-conference-in-may-2021-in-sydney,2021-05-17,2021-05-18,0,confirmed
International Conference on Advances in Ophthalmic Drugs in May 2021 in Berlin,in May 2021 in Berlin,online,English,https://waset.org/advances-in-ophthalmic-drugs-conference-in-may-2021-in-berlin,2021-05-20,2021-05-21,0,confirmed
International Conference on Corneal Reshaping and Transplantation in May 2021 in Berlin,May 2021 in Berlin,online,English,https://waset.org/corneal-reshaping-and-transplantation-conference-in-may-2021-in-berlin,2021-05-20,2021-05-21,0,confirmed
International Conference on Ophthalmology and Neovascularization in May 2021 in Vancouver,May 2021 in Vancouver,online,English,https://waset.org/ophthalmology-and-neovascularization-conference-in-may-2021-in-vancouver,2021-05-20,2021-05-21,0,confirmed
International Conference on Ophthalmology and  Optometry and Rehabilitation in May 2021 in Berlin,May 2021 in Berlin,online,English,https://waset.org/ophthalmology-optometry-and-rehabilitation-conference-in-may-2021-in-berlin,2021-05-20,2021-05-21,0,confirmed
International Conference on Ocular Refraction and Therapeutics in May 2021 in Vancouver,May 2021 in Vancouver,online,English,https://waset.org/ocular-refraction-and-therapeutics-conference-in-may-2021-in-vancouver,2021-05-20,2021-05-21,0,confirmed
International Conference on Treatments of Allergic Conjunctivitis in May 2021 in Berlin,May 2021 in Berlin,online,English,https://waset.org/treatments-of-allergic-conjunctivitis-conference-in-may-2021-in-berlin,2021-05-20,2021-05-21,0,confirmed
International Conference on Corneal Erosion in May 2021 in Montreal,May 2021 in Montreal,online,English,https://waset.org/corneal-erosion-conference-in-may-2021-in-montreal,2021-05-24,2021-05-25,0,confirmed
International Conference on Cataract and Refractive Surgeons in May 2021 in London,May 2021 in London,online,English,https://waset.org/cataract-and-refractive-surgeons-conference-in-may-2021-in-london,2021-05-24,2021-05-25,0,confirmed
International Conference on Ophthalmology and Eye Implants in May 2021 in Montreal,May 2021 in Montreal,online,English,https://waset.org/ophthalmology-and-eye-implants-conference-in-may-2021-in-montreal,2021-05-24,2021-05-25,0,confirmed
International Conference on Ophthalmology Novel Approaches in May 2021 in Barcelona,May 2021 in Barcelona,online,English,https://waset.org/ophthalmology-novel-approaches-conference-in-may-2021-in-barcelona,2021-05-24,2021-05-25,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Sciences in May 2021 in Montreal,May 2021 in Montreal,online,English,https://waset.org/ophthalmology-optometry-and-vision-sciences-conference-in-may-2021-in-montreal,2021-05-24,2021-05-25,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Science in May 2021 in Tokyo,May 2021 in Tokyo,online,English,https://waset.org/ophthalmology-optometry-and-vision-science-conference-in-may-2021-in-tokyo,2021-05-27,2021-05-28,0,confirmed
International Conference on Ophthalmology and Corneal Diseases in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-corneal-diseases-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmology and Glaucoma Filtering in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-glaucoma-filtering-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmology and Optics in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-optics-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmology and Pharmaceuticals in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ophthalmology-and-pharmaceuticals-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ocular Pharmacology and Ophthalmic Genetics in June 2021 in New York,June 2021 in New York,online,English,https://waset.org/ocular-pharmacology-and-ophthalmic-genetics-conference-in-june-2021-in-new-york,2021-06-03,2021-06-04,0,confirmed
International Conference on Ophthalmic Genetics and Ocular Microbiology in June 2021 in San Francisco,June 2021 in San Francisco,online,English,https://waset.org/ophthalmic-genetics-and-ocular-microbiology-conference-in-june-2021-in-san-francisco,2021-06-07,2021-06-08,0,confirmed
International Conference on Ophthalmology Practice and Surgery in June 2021 in San Francisco,June 2021 in San Francisco,online,English,https://waset.org/ophthalmology-practice-and-surgery-conference-in-june-2021-in-san-francisco,2021-06-07,2021-06-08,0,confirmed
International Conference on Clinical and Medical Sciences in June 2021 in Barcelona,June 2021 in Barcelona,online,English,https://waset.org/clinical-and-medical-sciences-conference-in-june-2021-in-barcelona,2021-06-10,2021-06-11,0,confirmed
International Conference on Management of Glaucoma in June 2021 in Barcelona,June 2021 in Barcelona,online,English,https://waset.org/management-of-glaucoma-conference-in-june-2021-in-barcelona,2021-06-10,2021-06-11,0,confirmed
International Conference on Oculoplastic and Lacrimal Surgery in June 2021 in Copenhagen,June 2021 in Copenhagen,online,English,https://waset.org/oculoplastic-and-lacrimal-surgery-conference-in-june-2021-in-copenhagen,2021-06-10,2021-06-11,0,confirmed
International Conference on Ophthalmology and  Vision Anomalies  Therapy and Care in June 2021 in Tokyo,June 2021 in Tokyo,online,English,https://waset.org/ophthalmology-vision-anomalies-therapy-and-care-conference-in-june-2021-in-tokyo,2021-06-10,2021-06-11,0,confirmed
International Conference on Ophthalmology and Visual Sciences in June 2021 in Barcelona,June 2021 in Barcelona,online,English,https://waset.org/ophthalmology-and-visual-sciences-conference-in-june-2021-in-barcelona,2021-06-10,2021-06-11,0,confirmed
International Conference on Superior Oblique Palsy and Ophthalmology in June 2021 in Toronto,June 2021 in Toronto,online,English,https://waset.org/superior-oblique-palsy-and-ophthalmology-conference-in-june-2021-in-toronto,2021-06-15,2021-06-16,0,confirmed
International Conference on Radiology and Imaging in June 2021 in Riga,June 2021 in Riga,online,English,https://waset.org/radiology-and-imaging-conference-in-june-2021-in-riga,2021-06-17,2021-06-18,0,confirmed
International Conference on Corneal Neovascularization and Eye Diseases in June 2021 in Vienna,June 2021 in Vienna,online,English,https://waset.org/corneal-neovascularization-and-eye-diseases-conference-in-june-2021-in-vienna,2021-06-21,2021-06-22,0,confirmed
International Conference on Ophthalmology and Vision Science in June 2021 in Vienna,June 2021 in Vienna,online,English,https://waset.org/ophthalmology-and-vision-science-conference-in-june-2021-in-vienna,2021-06-21,2021-06-22,0,confirmed
International Conference on Ocular Oncology and Pharmacology in June 2021 in Oslo,June 2021 in Oslo,online,English,https://waset.org/ocular-oncology-and-pharmacology-conference-in-june-2021-in-oslo,2021-06-24,2021-06-25,0,confirmed
International Conference on Ophthalmology: Exotropia and Esotropia in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-exotropia-and-esotropia-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and  Optometry and Eye Care in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-optometry-and-eye-care-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology Practice in June 2021 in Istanbul,June 2021 in Istanbul,online,English,https://waset.org/ophthalmology-practice-conference-in-june-2021-in-istanbul,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmic Research in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmic-research-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmic Research and Drug Delivery in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmic-research-and-drug-delivery-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and  Therapy and Care in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-therapy-and-care-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and Visual Field Loss in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-and-visual-field-loss-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on Ophthalmology and Vision Research in June 2021 in London,June 2021 in London,online,English,https://waset.org/ophthalmology-and-vision-research-conference-in-june-2021-in-london,2021-06-28,2021-06-29,0,confirmed
International Conference on General Ophthalmology in June 2021 in Dubai,June 2021 in Dubai,online,English,https://waset.org/general-ophthalmology-conference-in-june-2021-in-dubai,2021-06-29,2021-06-30,0,confirmed
International Conference on Corneal Degeneration and Ocular Infections in July 2021 in Singapore,July 2021 in Singapore,online,English,https://waset.org/corneal-degeneration-and-ocular-infections-conference-in-july-2021-in-singapore,2021-07-05,2021-07-06,0,confirmed
International Conference on Ocular and Systemic Side Effects of Drugs in July 2021 in Singapore,July 2021 in Singapore,online,English,https://waset.org/ocular-and-systemic-side-effects-of-drugs-conference-in-july-2021-in-singapore,2021-07-05,2021-07-06,0,confirmed
International Conference on Corneal Erosion and Degeneration in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/corneal-erosion-and-degeneration-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on Corneal Neovascularization and Pathophysiology of Glaucoma in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/corneal-neovascularization-and-pathophysiology-of-glaucoma-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on External Ophthalmoplegia in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/external-ophthalmoplegia-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on Miscellaneous Corneal Disorders in July 2021 in Prague,July 2021 in Prague,online,English,https://waset.org/miscellaneous-corneal-disorders-conference-in-july-2021-in-prague,2021-07-08,2021-07-09,0,confirmed
International Conference on Corneal Degeneration and Ophthalmic Drugs in July 2021 in Bali,July 2021 in Bali,online,English,https://waset.org/corneal-degeneration-and-ophthalmic-drugs-conference-in-july-2021-in-bali,2021-07-15,2021-07-16,0,confirmed
International Conference on Recurrent Corneal Erosion in July 2021 in Stockholm,July 2021 in Stockholm,online,English,https://waset.org/recurrent-corneal-erosion-conference-in-july-2021-in-stockholm,2021-07-15,2021-07-16,0,confirmed
International Conference on Tomography in Ocular Adnexae Lymphoma in July 2021 in Stockholm,in July 2021 in Stockholm,online,English,https://waset.org/tomography-in-ocular-adnexae-lymphoma-conference-in-july-2021-in-stockholm,2021-07-15,2021-07-16,0,confirmed
International Conference on Genetic Eye Diseases and Corneal Reshaping in July 2021 in Paris,July 2021 in Paris,online,English,https://waset.org/genetic-eye-diseases-and-corneal-reshaping-conference-in-july-2021-in-paris,2021-07-19,2021-07-20,0,confirmed
International Conference on Health and Medicine Research in July 2021 in Toronto,July 2021 in Toronto,online,English,https://waset.org/health-and-medicine-research-conference-in-july-2021-in-toronto,2021-07-19,2021-07-20,0,confirmed
International Conference on Retinal Cell Biology and Advances in Ophthalmic Drugs in July 2021 in Toronto,in July 2021 in Toronto,online,English,https://waset.org/retinal-cell-biology-and-advances-in-ophthalmic-drugs-conference-in-july-2021-in-toronto,2021-07-19,2021-07-20,0,confirmed
